Generating Table Data:   0%|          | 16/60000 [01:34<90:08:28,  5.41s/it]cur_s:5 pgd_at_end_loss:1.5444445610046387 norm(adv_x.grad):1.3158749341964722 adv_x.grad:tensor([ 2.0922e-05,  6.1617e-05,  7.2194e-06,  4.3204e-05,  2.7327e-05,
cur_s:10 pgd_at_end_loss:1.6119024753570557 norm(adv_x.grad):1.2996671199798584 adv_x.grad:tensor([ 2.3023e-05,  6.8333e-05,  1.1302e-05,  4.8868e-05,  3.0763e-05,
cur_s:15 pgd_at_end_loss:1.6460630893707275 norm(adv_x.grad):1.3583334684371948 adv_x.grad:tensor([ 2.1709e-05,  6.3694e-05,  7.5987e-06,  4.4688e-05,  2.8328e-05,
cur_s:20 pgd_at_end_loss:1.6579337120056152 norm(adv_x.grad):1.3538501262664795 adv_x.grad:tensor([ 2.0204e-05,  6.1555e-05,  6.0491e-06,  4.2751e-05,  2.6931e-05,
cur_s:25 pgd_at_end_loss:1.6692066192626953 norm(adv_x.grad):1.3598169088363647 adv_x.grad:tensor([ 2.8548e-05,  6.8448e-05,  1.2478e-05,  4.8187e-05,  3.4393e-05,
cur_s:30 pgd_at_end_loss:1.675753116607666 norm(adv_x.grad):1.3839614391326904 adv_x.grad:tensor([ 9.4149e-06,  5.3021e-05, -3.6557e-06,  3.5100e-05,  1.7106e-05,
cur_s:35 pgd_at_end_loss:1.6826915740966797 norm(adv_x.grad):1.3934260606765747 adv_x.grad:tensor([ 1.4036e-05,  5.6927e-05, -8.7844e-07,  3.7361e-05,  2.1119e-05,
cur_s:40 pgd_at_end_loss:1.692762017250061 norm(adv_x.grad):1.34486985206604 adv_x.grad:tensor([ 1.6597e-05,  6.4024e-05,  4.0163e-06,  4.4061e-05,  2.4980e-05,
cur_s:45 pgd_at_end_loss:1.7024741172790527 norm(adv_x.grad):1.4209890365600586 adv_x.grad:tensor([ 3.3023e-05,  6.2078e-05,  8.7210e-06,  4.6251e-05,  3.0786e-05,
cur_s:50 pgd_at_end_loss:1.7069755792617798 norm(adv_x.grad):1.3460514545440674 adv_x.grad:tensor([ 1.6922e-05,  6.5949e-05,  4.1512e-06,  4.5346e-05,  2.5291e-05,
cur_s:55 pgd_at_end_loss:1.7124509811401367 norm(adv_x.grad):1.346563458442688 adv_x.grad:tensor([ 1.6777e-05,  6.5899e-05,  4.0219e-06,  4.5264e-05,  2.5203e-05,
cur_s:60 pgd_at_end_loss:1.7173978090286255 norm(adv_x.grad):1.3676258325576782 adv_x.grad:tensor([ 3.4540e-05,  6.8136e-05,  1.2879e-05,  5.1416e-05,  3.3828e-05,
cur_s:65 pgd_at_end_loss:1.7225513458251953 norm(adv_x.grad):1.3504871129989624 adv_x.grad:tensor([ 1.4193e-05,  6.4763e-05,  2.0460e-06,  4.4389e-05,  2.4094e-05,
cur_s:70 pgd_at_end_loss:1.7275177240371704 norm(adv_x.grad):1.3512753248214722 adv_x.grad:tensor([ 1.4061e-05,  6.4688e-05,  1.9148e-06,  4.4297e-05,  2.4001e-05,
cur_s:75 pgd_at_end_loss:1.7336158752441406 norm(adv_x.grad):1.3563988208770752 adv_x.grad:tensor([ 6.5763e-06,  5.5736e-05, -4.5893e-06,  2.5583e-05,  8.1731e-06,
cur_s:80 pgd_at_end_loss:1.748558521270752 norm(adv_x.grad):1.4118659496307373 adv_x.grad:tensor([ 8.6682e-06,  5.2200e-05, -5.9515e-06,  2.3594e-05,  8.1783e-06,
cur_s:85 pgd_at_end_loss:1.7572150230407715 norm(adv_x.grad):1.4160062074661255 adv_x.grad:tensor([ 7.2198e-06,  5.1731e-05, -7.7428e-06,  2.2595e-05,  6.5236e-06,
cur_s:90 pgd_at_end_loss:1.7604174613952637 norm(adv_x.grad):1.4169000387191772 adv_x.grad:tensor([ 7.0400e-06,  5.1601e-05, -7.9066e-06,  2.2452e-05,  6.3628e-06,
cur_s:95 pgd_at_end_loss:1.7636280059814453 norm(adv_x.grad):1.3953032493591309 adv_x.grad:tensor([ 2.5764e-05,  6.7036e-05,  7.9584e-06,  3.5112e-05,  2.2973e-05,
cur_s:100 pgd_at_end_loss:1.7681987285614014 norm(adv_x.grad):1.4499591588974 adv_x.grad:tensor([-1.5106e-05,  2.7006e-05, -3.1235e-05, -5.5797e-06, -1.5248e-05,
cur_s:105 pgd_at_end_loss:1.7752220630645752 norm(adv_x.grad):1.4287608861923218 adv_x.grad:tensor([ 4.2016e-06,  4.2855e-05, -1.4926e-05,  7.3510e-06,  1.8556e-06,
cur_s:110 pgd_at_end_loss:1.7785639762878418 norm(adv_x.grad):1.4530565738677979 adv_x.grad:tensor([-1.5415e-05,  2.6669e-05, -3.1593e-05, -6.0025e-06, -1.5568e-05,
cur_s:115 pgd_at_end_loss:1.7834560871124268 norm(adv_x.grad):1.445227026939392 adv_x.grad:tensor([ 8.9206e-07,  3.7947e-05, -1.9804e-05,  2.2269e-06, -2.6509e-06,
cur_s:120 pgd_at_end_loss:1.7840402126312256 norm(adv_x.grad):1.4536253213882446 adv_x.grad:tensor([ 1.6785e-06,  4.1650e-05, -1.8808e-05,  5.5666e-06, -1.7545e-06,
